"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"8600000US01373","ZCTA5 01373","82105","null","14319","null",
"8600000US01375","ZCTA5 01375","54524","null","12191","null",
"8600000US01376","ZCTA5 01376","41369","null","10655","null",
"8600000US01378","ZCTA5 01378","68839","null","8479","null",
"8600000US01379","ZCTA5 01379","62813","null","10344","null",
"8600000US01420","ZCTA5 01420","54683","null","4410","null",
"8600000US01430","ZCTA5 01430","113045","null","21708","null",
"8600000US01431","ZCTA5 01431","97269","null","11164","null",
"8600000US01432","ZCTA5 01432","99195","null","11696","null",
"8600000US01434","ZCTA5 01434","96500","null","49271","null",
"8600000US01436","ZCTA5 01436","70662","null","46414","null",
"8600000US01438","ZCTA5 01438","100579","null","29037","null",
"8600000US01440","ZCTA5 01440","51708","null","5564","null",
"8600000US01450","ZCTA5 01450","142500","null","24422","null",
"8600000US01451","ZCTA5 01451","177422","null","27231","null",
"8600000US01452","ZCTA5 01452","100255","null","15565","null",
"8600000US01453","ZCTA5 01453","63263","null","5243","null",
"8600000US01460","ZCTA5 01460","125275","null","13084","null",
"8600000US01462","ZCTA5 01462","99601","null","7610","null",
"8600000US01463","ZCTA5 01463","105377","null","7020","null",
"8600000US01464","ZCTA5 01464","89247","null","20640","null",
"8600000US01467","ZCTA5 01467","-","-","**","**",
"8600000US01468","ZCTA5 01468","82173","null","13389","null",
"8600000US01469","ZCTA5 01469","97730","null","11541","null",
"8600000US01473","ZCTA5 01473","98555","null","16027","null",
"8600000US01474","ZCTA5 01474","94554","null","26461","null",
"8600000US01475","ZCTA5 01475","81582","null","14099","null",
"8600000US01501","ZCTA5 01501","83265","null","7831","null",
"8600000US01503","ZCTA5 01503","104432","null","17825","null",
"8600000US01504","ZCTA5 01504","90665","null","13468","null",
"8600000US01505","ZCTA5 01505","106100","null","16518","null",
"8600000US01506","ZCTA5 01506","70610","null","18532","null",
"8600000US01507","ZCTA5 01507","102531","null","4194","null",
"8600000US01510","ZCTA5 01510","75455","null","12670","null",
"8600000US01515","ZCTA5 01515","75347","null","17613","null",
"8600000US01516","ZCTA5 01516","117250","null","16678","null",
"8600000US01518","ZCTA5 01518","72713","null","32026","null",
"8600000US01519","ZCTA5 01519","114226","null","19555","null",
"8600000US01520","ZCTA5 01520","116107","null","7741","null",
"8600000US01521","ZCTA5 01521","77054","null","11580","null",
"8600000US01522","ZCTA5 01522","104040","null","9127","null",
"8600000US01523","ZCTA5 01523","97394","null","19878","null",
"8600000US01524","ZCTA5 01524","80649","null","9100","null",
"8600000US01525","ZCTA5 01525","52750","null","41517","null",
"8600000US01527","ZCTA5 01527","92556","null","12297","null",
"8600000US01529","ZCTA5 01529","79647","null","7602","null",
"8600000US01531","ZCTA5 01531","90489","null","9099","null",
"8600000US01532","ZCTA5 01532","140600","null","10668","null",
"8600000US01534","ZCTA5 01534","100819","null","14114","null",
"8600000US01535","ZCTA5 01535","73208","null","8537","null",
"8600000US01536","ZCTA5 01536","102756","null","21045","null",
"8600000US01537","ZCTA5 01537","76859","null","18360","null",
"8600000US01540","ZCTA5 01540","85813","null","14108","null",
"8600000US01541","ZCTA5 01541","129097","null","21726","null",
"8600000US01542","ZCTA5 01542","88750","null","34493","null",
"8600000US01543","ZCTA5 01543","124890","null","20745","null",
"8600000US01545","ZCTA5 01545","108870","null","7836","null",
"8600000US01550","ZCTA5 01550","52900","null","5098","null",
"8600000US01560","ZCTA5 01560","86146","null","16446","null",
"8600000US01561","ZCTA5 01561","-","-","**","**",
"8600000US01562","ZCTA5 01562","70265","null","11759","null",
"8600000US01564","ZCTA5 01564","122810","null","16126","null",
"8600000US01566","ZCTA5 01566","105294","null","21654","null",
"8600000US01568","ZCTA5 01568","126442","null","17366","null",
