"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz9701","Columbus, AL & GA",45747
"cz27402","Fort Dodge, IA",45732
"cz2700","Gulfport, MS",45712
"cz14600","Bloomington, IN",45690
"cz32305","Del Rio, TX",45656
"cz34503","Kalispell, MT",45655
"cz28201","Red Oak, IA",45624
"cz29103","Beloit, KS",45552
"cz21004","Rhinelander, WI",45531
"cz18500","Amsterdam, NY",45491
"cz1900","Jacksonville, NC",45464
"cz9301","Winder, GA",45433
"cz16200","Altoona, PA",45422
"cz28603","Phillipsburg, KS",45421
"cz26202","East Grant UT, ND",45405
"cz27008","Parkston, SD",45397
"cz27502","Creston, IA",45378
"cz16000","Mansfield, OH",45330
"cz28605","Goodland, KS",45302
"cz13200","Owensboro, KY",45296
"cz29004","Great Bend, KS",45290
"cz38401","Lewiston, ID & WA",45287
"cz14400","Terre Haute, IN",45229
"cz16400","Youngstown, OH & PA",45189
"cz5401","Bowling Green, KY",45171
"cz29402","Emporia, KS",45120
"cz29403","Bartlesville, KS & OK",45102
"cz5500","Columbia, TN",45069
"cz14802","Vincennes, IL & IN",45046
"cz29007","Township 11, KS",45019
"cz33700","Ardmore, OK",44914
"cz28606","Wano, KS & NE",44866
"cz20301","Berlin, NH & VT",44784
"cz26004","International Falls, MN",44779
"cz33200","Paris, TX",44598
"cz39201","La Grande, OR",44551
"cz21101","Rice Lake, WI",44545
"cz28504","Burlington, CO",44540
"cz29700","Springfield, MO",44516
"cz36800","Medford, OR",44429
"cz5700","Tullahoma, TN",44374
"cz27009","Chamberlain, SD",44252
"cz28601","Oberlin, KS",44247
"cz7900","Gainesville, FL",44239
"cz38100","Yuma, AZ & CA",44220
"cz15300","Parkersburg, OH & WV",44077
"cz700","Spartanburg, NC & SC",44007
"cz11401","Marquette, MI",43966
"cz12502","Washington Court House, OH",43952
"cz36501","Klamath Falls, CA & OR",43931
"cz18201","Olean, NY & PA",43893
"cz26106","Centerville, IA",43862
"cz28301","Sterling, CO",43784
"cz15600","Wheeling, OH & WV",43734
"cz800","Gastonia, NC",43730
"cz25401","Paducah, IL & KY",43720
"cz6800","Lakeland, FL",43681
"cz9800","Auburn, AL",43602
"cz10302","Dothan, AL",43509
"cz28502","Pueblo, CO",43464
"cz34204","Lewistown, MT",43406
"cz7500","Deltona, FL",43367
"cz6600","Rome, AL & GA",43357
"cz10801","Tuscaloosa, AL",43330
"cz29102","Superior, NE",43295
"cz14000","Muncie, IN",43206
"cz4002","Shreveport, LA",43192
"cz21001","Ashland, WI",43173
"cz29303","Winfield, KS",43139
"cz38602","Colville, WA",43130
"cz25200","Henderson, KY",43102
"cz30908","Plainview, TX",43023
"cz32502","Childress, TX",43008
"cz12002","Ludington, MI",43003
"cz29002","Coldwater, KS",43000
"cz30601","El Paso, NM & TX",42818
"cz23700","Galesburg, IL",42763
"cz32802","Corsicana, TX",42750
"cz24500","Rolla, MO",42714
"cz30901","Clovis, NM & TX",42636
"cz27703","Torrington, WY",42591
"cz28704","Laramie, CO & WY",42556
"cz23301","Charleston, IL",42536
"cz35903","Moab, UT",42517
"cz39202","Enterprise, OR",42501
"cz11402","Marinette, MI & WI",42455
"cz29901","Joplin, KS & MO & OK",42411
"cz2100","Washington, NC",42385
"cz33602","Altus, OK",42383
"cz33500","Texarkana, AR & TX",42364
"cz4901","Jackson, TN",42316
"cz32701","Brownwood, TX",42303
"cz34201","Havre, MT",42283
"cz15500","Steubenville, OH & WV",42265
"cz2900","Hattiesburg, MS",42238
"cz26102","Marshall, MO",42216
"cz38902","Newport, OR",42185
"cz29602","Eldon, MO",42163
"cz36700","Eureka, CA",42128
"cz1400","Fayetteville, NC",42084
"cz34306","Jordan, MT",42083
"cz15400","Zanesville, OH",42081
"cz8701","Hinesville, GA",42066
"cz32604","Vernon, TX",42058
"cz4004","Many, LA",42048
"cz29506","Bethany, MO",41972
"cz25900","Jonesboro, AR",41961
"cz25601","Carbondale, IL",41920
"cz24600","Farmington, MO",41880
"cz24702","Mexico, MO",41873
"cz17501","Cumberland, MD & WV",41841
"cz32201","Huntsville, TX",41822
"cz32503","Haskell, TX",41775
"cz30401","Stillwater, OK",41737
"cz29505","Polk, MO",41688
"cz6200","Florence, AL & TN",41649
"cz34404","Butte-Silver Bow, MT",41587
